
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6385.0      NaN   NaN    10.20 23.65             NaN
 6390.0  565.650 23.46    10.40 23.58           -0.12
 6395.0      NaN   NaN    10.55 23.48             NaN
 6400.0  556.850 23.70    10.75 23.41            0.29
 6405.0      NaN   NaN    10.90 23.31             NaN
 6410.0  564.450 29.89    11.90 23.61            6.29
 6415.0  559.650 29.75    11.25 23.13            6.62
 6420.0  556.100 29.98    11.40 23.02            6.96
 6425.0      NaN   NaN    12.40 23.30             NaN
 6430.0      NaN   NaN    11.80 22.85             NaN
 6435.0  521.550 22.28    12.85 23.14           -0.86
 6440.0  518.500 22.98    12.20 22.68            0.30
 6445.0  512.750 22.46    13.30 22.97           -0.51
 6450.0  507.950 22.37    12.50 22.45           -0.08
 6455.0  503.150 22.27    12.85 22.42           -0.15
 6460.0      NaN   NaN    13.05 22.32             NaN
 6465.0  494.350 22.40    14.15 22.60           -0.20
 6470.0  489.700 22.35    14.40 22.51           -0.16
 6475.0  484.150 21.94    13.75 22.07           -0.13
 6480.0  479.350 21.84    14.90 22.34           -0.50
 6485.0      NaN   NaN    15.15 22.25             NaN
 6490.0  471.250 22.20    15.40 22.16            0.04
 6495.0      NaN   NaN    14.70 21.70             NaN
 6500.0  460.500 21.53    15.90 21.97           -0.44
 6505.0  455.800 21.45    15.20 21.52           -0.07
 6510.0  451.900 21.66    15.50 21.44            0.22
 6515.0      NaN   NaN    16.80 21.72             NaN
 6520.0      NaN   NaN    17.05 21.62             NaN
 6525.0  459.600 27.74    16.30 21.17            6.57
 6530.0  454.750 27.55    16.60 21.08            6.47
 6535.0  450.550 27.52    18.00 21.37            6.16
 6540.0  422.900 20.85    18.35 21.29           -0.45
 6545.0      NaN   NaN    17.55 20.83             NaN
 6550.0  413.450 20.64    17.85 20.74           -0.10
 6555.0  410.000 20.95    19.35 21.03           -0.08
 6560.0  405.500 20.90    19.70 20.94           -0.04
 6565.0  399.600 20.41    20.10 20.87           -0.45
 6570.0  396.050 20.67    19.25 20.40            0.26
 6575.0  391.750 20.68    20.75 20.67            0.01
 6580.0  385.750 20.17    21.20 20.60           -0.43
 6585.0  381.150 20.09    21.60 20.52           -0.43
 6590.0  376.550 20.00    20.70 20.05           -0.05
 6595.0  375.150 20.84    22.40 20.34            0.49
 6600.0  368.700 20.22    22.85 20.27           -0.05
 6605.0  362.700 19.72    23.25 20.17           -0.45
 6610.0  358.200 19.66    23.75 20.11           -0.45
 6615.0  355.200 20.00    22.80 19.63            0.37
 6620.0  350.350 19.83    23.30 19.56            0.27
 6625.0  344.600 19.41    25.10 19.84           -0.43
 6630.0  340.000 19.31    25.55 19.75           -0.44
 6635.0  336.600 19.52    24.65 19.30            0.22
 6640.0  332.600 19.56    25.15 19.22            0.34
 6645.0  326.550 19.07    27.10 19.51           -0.43
 6650.0  322.000 18.97    27.65 19.43           -0.46
 6655.0  317.600 18.90    26.65 18.96           -0.06
 6660.0  313.150 18.82    27.15 18.87           -0.05
 6665.0  310.100 19.08    29.30 19.18           -0.10
 6670.0  304.200 18.64    29.85 19.09           -0.45
 6675.0  299.850 18.57    30.45 19.00           -0.43
 6680.0  295.450 18.49    29.40 18.53           -0.04
 6685.0  292.400 18.72    30.00 18.45            0.27
 6690.0  286.650 18.32    32.30 18.75           -0.44
 6695.0  282.250 18.22    31.20 18.27           -0.05
 6700.0  279.750 18.56    33.60 18.59           -0.03
 6705.0  275.350 18.45    32.50 18.11            0.34
 6710.0  271.000 18.36    33.20 18.03            0.33
 6715.0  266.850 18.31    35.55 18.31           -0.00
 6720.0  262.600 18.23    34.55 17.86            0.37
 6725.0  258.150 18.10    37.10 18.16           -0.06
 6730.0  253.800 17.99    35.95 17.68            0.31
